Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
1201		35/80	4° 	Papier	102	20 : 14												XIV/2 																			
1202		42/103	4° 	Pergament	281	20 : 13																		Anfang XIII										Chorherrenstift Seckau			
1203		35/81	4° 	Papier	193	20 : 16												XVII																Kartause Seitz			
1204		37/64	4° 	Papier	47	20 : 16												XVII																			
1205				Papier	162	19 : 14	1617																														
1206		41/52	4°	Pergament	111	19 : 14												XIV																			
1207				Papier	257	20 : 15	1626																											Benediktinerstift St. Lambrecht			
1208		35/69	4°	Papier	210	20 : 15												XVII																Kartause Seitz			
1209		35/65	4°	Papier	125	20 : 15	1655	86r																													
1210		35/67	4°	Papier	158	20 : 14												XV/2																Chorherrenstift Seckau			
1211		35/68	4°	Papier	115	20 : 15												XVII																Kartause Seitz			
1212				Papier	180	20 : 15												XVII/2																			
1213		35/62	4°	Papier	255	20 : 15												XVII																			
1214	1	34/48	4°	Papier	376	20 : 15												XVII/2																Benediktinerstift St. Lambrecht			
1214	2	34/48	4°	Papier	256	20 : 15	1679	256r																										Benediktinerstift St. Lambrecht			
1215		34/49	4°	Papier	353	20 : 16	1748	1r			1748	66r																						Kartause Seitz			
1216		38/17	4°	Papier	177	20 : 16	1704	177r																													
1217		35/5	4°	Papier	V, 352	19 : 15 	1618																											Benediktinerstift St. Lambrecht			Katalogisat Zotter, s. Hs. 1207
1218				Papier	581	20 : 16	1623																														
1219				Papier	251	21 : 15	1571																														
1220		35/70	4°	Papier	118	21 : 15																		nach 1616										Jesuitenkolleg Graz			
1221		35/71	4°	Papier	137	22 : 15												XV/1																Chorherrenstift Seckau			
1222		35/75	4°	Papier	204	21 : 16												XVII																Jesuitenkolleg Graz			
1223		34/40	4°	Papier	100	21 : 15												XIV/2																Benediktinerstift St. Lambrecht			
1224				Papier	138	21 : 15	1567																											Chorherrenstift Seckau			
1225		34/37	4°	Papier	111	22 : 16	1443	95r																													
1226		34/38	4°	Papier	128	21 : 15												XIV																Chorherrenstift Seckau			
