Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)	
601		36/53	f°	Papier	I, 210	29 : 21	1419	210v																										Benediktinerstift St. Lambrecht				
602		35/23	f°	Papier	504	29 : 22 												XV																Zisterzienserstift Neuberg				
603		35/25	f°	Papier	399	29 : 21 	1455	399																										Zisterzienserstift Neuberg				
604		35/27 	f°	Papier	522	29 : 20	1428	260																										Zisterzienserstift Neuberg				
605		35/26 	f°	Papier	I, 386, I	29 : 21																		Mitte XV										Chorherrenstift Seckau				
606		35/20	f°	Papier	131	30 : 20												XIV/2																Zisterzienserstift Neuberg				
607		36/39	f°	Papier	132	30 : 22																		um 1400										Zisterzienserstift Neuberg				
608		36/40	f°	Papier	140	29 : 22												XIV/2	 														Konrad Heunfelder	Benediktinerstift Millstatt		Jesuitenkollegium Graz		
609		36/13	f°	Papier	229	29 : 20	1379	171																										Chorherrenstift Seckau				
610		36/6	f°	Papier	283	29 : 21																		Mitte XV														
611		36/34	f°	Papier	219	30 : 21												XV/1		XIV/2	23-25													Benediktinerstift St. Lambrecht				
612		36/11	f°	Papier	116	30 : 20												XIV/2																Benediktinerstift St. Lambrecht				
613		36/49	f°	Papier	229	30 : 21	1389	219v																										Chorherrenstift Seckau				
614		36/10	f°	Papier	178	30 : 21																		Ende XIV										Chorherrenstift Seckau				
615		36/9	f°	Papier	200	29 : 21												XIV/2																Chorherrenstift Seckau			Alte Blattzählung 14-213. Die ersten 13 Bl. der alten Zählung fehlen	
616		36/7	f°	Papier	251	30 : 21												XV/1																Chorherrenstift Seckau				
617		36/8	f°	Papier	264	29 : 22												XV/1																Zisterzienserstift Neuberg				
618		36/51	f°	Papier	252	29 : 21																		Mitte XV										Zisterzienserstift Neuberg				
619		36/12	f°	Papier	254	29 : 21																		um 1522	57									Kartause Seitz				
620		36/59	f°	Papier	237	29 : 21												XV/1																Chorherrenstift Seckau				
621		35/30	f°	Papier	351	29 : 21																		Mitte XV										Zisterzienserstift Neuberg				
622		35/28	f°	Papier	I, 351	30 : 22												XV/2																Zisterzienserstift Neuberg				
623		35/12	f°	Papier	252	29 : 21																		Anfang XV										Chorherrenstift Seckau				
624		35/13	f°	Pergament, Papier	115	29 : 21																		Anfang XV		1376/77	19-67	22v, 67						Zisterzienserstift Neuberg			Pergament (Bl. 1-18) und Papier	
625		42/24	f°	Papier	155	29 : 21																		Ende XIV										Zisterzienserstift Neuberg				
626		35/15	f°	Papier	142	28 : 22	1357	105																Mitte XIV	53v-105									Zisterzienserstift Neuberg				
627		36/67	f°	Papier	249	31 : 21												XV/1																Benediktinerstift St. Lambrecht				
628		33/12	f°	Papier	279	31 : 21	1422	239																										Chorherrenstift Seckau				
629		35/16	f°	Papier	244	30 : 21																		Anfang XV														
630		35/18	f°	Papier	221	30 : 21												XIV/2																Zisterzienserstift Neuberg				
631		35/56	f°	Papier	311	29 : 21	1454	79v			1451	182		1455	193v	1453	269																	Chorherrenstift Seckau			4.Dat.Exakt 1453/ ex.fol. 269	
632		36/24	f°	Papier	347	30 : 22	1393	342v																										Chorherrenstift Seckau				
