key	a	0
Aegidius-Kirche	Domkirche Graz	(DE-588)4514224-5
Benediktierstift St. Lambrecht	Kloster Sankt Lambrecht 	(DE-588)5037112-5
Benediktinerstift Maria Laach	Kloster Maria Laach 	(DE-588)1000060-4
Benediktinerstift Millstadt	Stift Millstatt	 (DE-588)5266119-2
Benediktinerstift Millstatt	Stift Millstatt	 (DE-588)5266119-2
Benediktinerstift St. Lambrecht	Kloster Sankt Lambrecht 	(DE-588)5037112-5
Benediktinerstift St. Lambrecht ?	Kloster Sankt Lambrecht 	(DE-588)5037112-5
Benediktinserstift Millstatt	Stift Millstatt	 (DE-588)5266119-2
Benendiktinerstift St. Lambrecht	Kloster Sankt Lambrecht 	(DE-588)5037112-5
Bibliothek der medizinisch-chirurgischen Lehranstalt in Graz	K.K. Medicinisch-Chirurgische Lehranstalt zu Gratz	(DE-588)5026270-1
Chorherrenstift Rottenmann	Stift Rottenmann	(DE-588)1172527830
Chorherrenstift Seckau	Stift Seckau	(DE-588)4440600-9
Chorherrenstift Seckau ?	Stift Seckau	(DE-588)4440600-9
Chorherrenstift Stainz	Stift Stainz	(DE-588)1172528985
Chorherrenstift Stainz (?)	Stift Stainz	(DE-588)1172528985
Clarissinenkloster in Judenburg	Kloster Judenburg	kein GND Eintrag
Danzig, Dominikanerkonvent St. Nikolaus	Dominikanerkloster Danzig	 (DE-588)4827491-4
Dominikaner Pettau	Kloster Pettau	kein GND Eintrag
Dominikanerinnen in Mahrenberg	Kloster Radlje ob Dravi	(DE-588)4512290-8
Dominikanerinnen in Mahrenberg a. d. Drau	Kloster Radlje ob Dravi	(DE-588)4512290-8
Dominikanerkloster in Wiener Neustadt	Dominikanerkloster Wiener Neustadt	(DE-588)1172538891
Dominikanerkloster Leoben	Kloster Leoben	(DE-588)7854842-1
Dominikanerkloster Pettau	Dominikanerkloster Pettau	kein GND Eintrag
Dominikanerkloster Pettau ? 	Dominikanerkloster Pettau	kein GND Eintrag
Dominikanerkloster Straßburg i. E.	Dominikanerkloster Strassburg	(DE-588)1087597560
Dominikanerkonvent in Wiener Neustadt ?	Dominikanerkloster Wiener-Neustadt	kein GND Eintrag
Ferdinandeum Graz	Bibliotheca Ferdinandea	keine Körperschaft
Franziskanerkloster in Judenburg 	Kloster Judenburg	(DE-588)1172540624
Graz Dominikaner	Dominikanerkloster Graz	(DE-588)80975-5
Graz, Ferdinandeum 1709	Bibliotheca Ferdinandea	kein GND Eintrag
Grazer Ferdinandeum	Bibliotheca Ferdinandea	kein GND Eintrag
Grazer Hofbibliothek	Hofbibliothek Graz	(DE-588)1172524149
Grazer Jesuitenkollegium	Collegium Societatis Jesu Graz	(DE-588)10111555-6
Hofbibliothek Graz?	Hofbibliothek Graz	kein GND Eintrag
Hofbibliothek in Graz	Hofbibliothek Graz	kein GND Eintrag
Jesuitenkolleg Graz	Collegium Societatis Jesu Graz	(DE-588)10111555-6
Jesuitenkolleg Judenburg	Jesuitenkolleg Judenburg	(DE-588)1172525137
Jesuitenkolleg Leoben	Jesuitenkolleg Leoben	(DE-588)1172526028
Jesuitenkollegium Graz	Collegium Societatis Jesu Graz	(DE-588)10111555-6
Jesuitenkollegium Graz ?	Collegium Societatis Jesu Graz	(DE-588)10111555-6
Jesuitenkollegium in Graz	Collegium Societatis Jesu Graz	(DE-588)10111555-6
Jesuitenkollegium Leoben	Jesuitenkolleg Leoben	kein GND Eintrag
Kapuzinerkloster in Cormons	Kapuzinerkloster Cormons	(DE-588)117252677X
Kartause Aggsbach	Kloster Aggsbach	 (DE-588)2115958-0
Kartause Gairach	Kloster Jurklošter	(DE-588)4360106-6
Kartause Gaming	Kloster Gaming	(DE-588)3011144-4
Kartause Mauerbach	Kloster Mauerbach	 (DE-588)16323774-8
Kartause Seitz	Kloster Seitz	(DE-588)4226462-5
Kartause Seitz ?	Kloster Seitz	(DE-588)4226462-5
Kartause Seiz	Kloster Seitz	(DE-588)4226462-5
Kartäuserstift Seitz	Kloster Seitz	(DE-588)4226462-5
Kirche Mariazell	Wallfahrtskirche Mariazell Mariazell	(DE-588)4391770-7
Millstatt	Stift Millstatt	 (DE-588)5266119-2
Neuhäusl, Oberungarn (Nove Zamky, Slowakei), fromme Stiftung	Stift Neuhäusl	kein GND Eintrag
Prämonstratenser Abtei Geras in Niederösterreich	Stift Geras	(DE-588)1043114-7
St. Georgs-Ritterorden in Millstatt 	Stift Millstatt	 (DE-588)4834813-2
St. Georgsritterorden Millstadt	Stift Millstatt	 (DE-588)4834813-2
St. Georgs-Ritterorden Millstatt	Stift Millstatt	 (DE-588)4834813-2
Stift Spital am Pyhrn	Stift Spital am Pyhrn	(DE-588)4249810-7
Superiorat Mariazell	Kloster Sankt Lambrecht	(DE-588)5037112-5
Witwenkasse der Grazer Wundärzte	Witwenkasse der  Wundärzte Graz	kein GND Eintrag
Zisterzienserstift Neuberg	Kloster Neuberg	 (DE-588)4404225-5
Zisterzienserstift Neuberg ?	Kloster Neuberg	 (DE-588)4404225-5
Zisterzienserstift Rein (Reun)	Stift Rein	 (DE-588)4103643-8
Zisterzienserstift Rein ?	Stift Rein	 (DE-588)4103643-8
